Masa,Gaji,IPK,TOEFL
1,3000000,3.37,460
4,1300000,3.72,440
9,2000000,3,480
2,2000000,3.15,500
5,3500000,3.1,434
5,7000000,2.8,435
3,1700000,3.34,421
5,2500000,2.85,493
3,1500000,2.83,450
3,3600000,3.56,490
9,2200000,3.26,450
1,600000,3.2,420
1,1500000,3.24,410
3,1450000,3.71,420
4,2000000,3.07,420
3,300000,3.74,400
1,350000,3.44,423
5,450000,3.85,430
5,800000,3.42,450
2,500000,3.77,456
7,500000,3.24,495
4,450000,3.56,450
1,3700000,3.16,410
3,500000,2.8,440
4,1500000,3.09,410
3,500000,3.35,427
3,1400000,3.18,525
2,1500000,3.1,403
2,1800000,2.98,420
7,2000000,3.25,525
2,500000,3,430
5,2400000,2.97,416
2,1500000,2.13,417
3,800000,3,
5,1300000,2.27,
5,1500000,2.75,413
4,1000000,3.05,
1,1400000,3.24,400
1,1500000,3.27,422
4,600000,3.2,460
2,600000,3.24,403
4,500000,3.06,450
5,1200000,3.47,423
5,,3.62,413
2,2000000,3.32,480
2,2300000,3.14,406
1,1500000,2.99,423
3,750000,3.6,400
4,1600000,3.83,436
4,1700000,3.4,420
6,1000000,2.76,464
7,1300000,3.06,400
3,1400000,3.16,433
1,1450000,2.94,426
3,2000000,3.77,463
1,700000,3.6,410
1,1800000,3.48,410
3,1500000,3.12,420
3,1600000,3.49,403
6,700000,3.72,446
3,1800000,3.81,403
2,2500000,3.21,420
4,1000000,3.5,440
4,750000,3,431
2,2000000,3.81,450
2,600000,3.25,400
2,800000,2.8,431
3,300000,3,400
3,500000,3.14,450
3,1800000,2.75,433
4,100000,3.23,433
2,1400000,2.5,423
3,1000000,2.99,430
3,10000000,3.02,416
4,1350000,3.39,466
3,1200000,3.01,420
2,3000000,3.2,416
1,2500000,3.57,416
4,750000,3.46,416
3,700000,2.93,420
3,1500000,3.23,433
3,1500000,2.5,412
2,1800000,2.99,408
1,1300000,3.02,460
1,1400000,3.39,424
6,1500000,3.01,420
4,1350000,3.26,450
1,1500000,3.2,420
1,800000,3.24,410
2,2300000,3.71,420
2,1600000,3.07,420
3,1100000,2.75,433
2,600000,3.17,430
3,3150000,3.09,403
3,2000000,3,415
2,2000000,3.56,404
3,3450000,3.33,410
3,2300000,3.01,488
4,300000,3.54,400
5,1500000,3.03,465
3,1000000,3.52,423
6,600000,3.19,410
3,700000,3.4,425
